Downloaded from FDA Substances Added to Food <em>(formerly EAFUS)</em>; http://www.hfpappexternal.fda.gov/scripts/fdcc/?set=FoodSubstances; Last updated 2/13/2025; downloaded 3/24/2025.,,
Data was truncated to the first two columns for file size purposes.,,
It is important to note that the inventory is only a partial list of food ingredients. Inclusion in this inventory of information from non-FDA entities does not indicate an FDA approval or evaluation of this use.  Always check the FDA regulations.,,
,,
CAS Reg No (or other ID),Substance,Used for (Technical Effect)
 85392-04-7, 6-DECENOIC ACID," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 14436-32-9, 9-DECENOIC ACID, FLAVORING AGENT OR ADJUVANT
 51100-54-0, 1-DECEN-3-OL, FLAVORING AGENT OR ADJUVANT
 67114-38-9, 7-DECEN-4-OLIDE, FLAVORING AGENT OR ADJUVANT
 32764-98-0, 8-DECEN-5-OLIDE, FLAVORING AGENT OR ADJUVANT
 74585-00-5, 9-DECEN-5-OLIDE, FLAVORING AGENT OR ADJUVANT
 10519-33-2, 3-DECEN-2-ONE, FLAVORING AGENT OR ADJUVANT
 35194-30-0, 9-DECEN-2-ONE, FLAVORING AGENT OR ADJUVANT
 977187-83-9, 6-[5(6)-DECENOYLOXY]DECANOIC ACID, FLAVORING AGENT OR ADJUVANT
 67452-27-1," 4-DECENYL ACETATE, CIS-", FLAVORING AGENT OR ADJUVANT
 112-17-4, DECYL ACETATE, FLAVORING AGENT OR ADJUVANT
 5454-09-1, DECYL BUTYRATE, FLAVORING AGENT OR ADJUVANT
 83469-85-6, 2-DECYLFURAN, FLAVORING AGENT OR ADJUVANT
 5454-19-3, DECYL PROPIONATE, FLAVORING AGENT OR ADJUVANT
 68602-86-8, DEERTONGUE SOLID EXTRACT, FLAVORING AGENT OR ADJUVANT
 977010-48-2, DEHYDRATED BEETS," COLOR OR COLORING ADJUNCT,<br /> FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 520-45-6, DEHYDROACETIC ACID, ANTIMICROBIAL AGENT
 57069-86-0, DEHYDRODIHYDROIONOL, FLAVORING AGENT OR ADJUVANT
 20483-36-7, DEHYDRODIHYDROIONONE, FLAVORING AGENT OR ADJUVANT
 75640-26-5, DEHYDROMENTHOFUROLACTONE, FLAVORING AGENT OR ADJUVANT
 5090-63-1, DEHYDRONOOTKATONE, FLAVORING AGENT OR ADJUVANT
 85248-56-2," 8,9-DEHYDROTHEASPIRONE", FLAVORING AGENT OR ADJUVANT
 61789-77-3, DI-N-ALKYL(C8-C18 FROM COCONUT OIL) DIMETHYL AMMONIUM CHLORIDE, SURFACE-ACTIVE AGENT
 72869-75-1, DIALLYL POLYSULFIDES, FLAVORING AGENT OR ADJUVANT
 2050-87-5, DIALLYL TRISULFIDE, FLAVORING AGENT OR ADJUVANT
 927-49-1, DIAMYL KETONE, FLAVORING AGENT OR ADJUVANT
 9001-19-8, DIASTASE FROM ASPERGILLUS ORYZAE, ENZYME
 103-50-4, DIBENZYL ETHER," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 7774-47-2," 4,4-DIBUTYL-GAMMA-BUTYROLACTONE", FLAVORING AGENT OR ADJUVANT
 109-43-3, DIBUTYL SEBACATE, FLAVORING AGENT OR ADJUVANT
 75-71-8, DICHLORODIFLUOROMETHANE," FREEZING OR COOLING AGENT,<br /> DIRECT CONTACT"
 2550-40-5, DICYCLOHEXYL DISULFIDE, FLAVORING AGENT OR ADJUVANT
 68425-47-8, DIETHANOLAMIDE CONDENSATE FROM SOYBEAN OIL FATTY ACIDS (C16-C18), SURFACE-ACTIVE AGENT
 977103-82-4, DIETHANOLAMIDE CONDENSATE FROM STRIPPED COCONUT OIL FATTY ACIDS(C10-C18), SURFACE-ACTIVE AGENT
 67715-79-1," 1,2-(DI(1'-ETHOXY)ETHOXY)PROPANE", FLAVORING AGENT OR ADJUVANT
 100-37-8, DIETHYLAMINOETHANOL, BOILER WATER ADDITIVE
 110-81-6, DIETHYL DISULFIDE, FLAVORING AGENT OR ADJUVANT
 109-30-8, DIETHYLENE GLYCOL DISTEARATE,
 111-40-0, DIETHYLENETRIAMINE, PROCESSING AID
 25085-17-0, DIETHYLENETRIAMINE CROSSLINKED WITH EPICHLOROHYDRIN, PROCESSING AID
 7554-12-3, DIETHYL MALATE, FLAVORING AGENT OR ADJUVANT
 105-53-3, DIETHYL MALONATE, FLAVORING AGENT OR ADJUVANT
 18138-04-0," 2,3-DIETHYL-5-METHYLPYRAZINE", FLAVORING AGENT OR ADJUVANT
 32736-91-7," 2,5-DIETHYL-3-METHYLPYRAZINE", FLAVORING AGENT OR ADJUVANT
 18138-05-1," 3,5-DIETHYL-2-METHYLPYRAZINE", FLAVORING AGENT OR ADJUVANT
 15707-24-1," 2,3-DIETHYLPYRAZINE", FLAVORING AGENT OR ADJUVANT
 1609-47-8, DIETHYL PYROCARBONATE-- PROHIBITED, DOUGH STRENGTHENER
 110-40-7, DIETHYL SEBACATE, FLAVORING AGENT OR ADJUVANT
 123-25-1, DIETHYL SUCCINATE, FLAVORING AGENT OR ADJUVANT
 352-93-2, DIETHYL SULFIDE, FLAVORING AGENT OR ADJUVANT
 87-91-2, DIETHYL TARTRATE, FLAVORING AGENT OR ADJUVANT
 41239-48-9," 2,5-DIETHYLTETRAHYDROFURAN", FLAVORING AGENT OR ADJUVANT
 977187-62-4," MIXTURE OF 3,6-DIETHYL-1,2,4,5-TETRATHIANE AND 3,5-DIETHYL-1,2,4-TRITHIOLANE", FLAVORING AGENT OR ADJUVANT
 3600-24-6, DIETHYL TRISULFIDE, FLAVORING AGENT OR ADJUVANT
 54644-28-9," (+/-)-CIS- AND TRANS-3,5-DIETHYL-1,2,4-TRITHIOLANE", FLAVORING AGENT OR ADJUVANT
 4437-22-3, DIFURFURYL ETHER, FLAVORING AGENT OR ADJUVANT
 64280-32-6," 2,4-DIFURFURYLFURAN", FLAVORING AGENT OR ADJUVANT
 1197-40-6, DI-2-FURYLMETHANE, FLAVORING AGENT OR ADJUVANT
 31147-36-1, DIGERANYL ETHER, FLAVORING AGENT OR ADJUVANT
 31499-72-6, DIHYDRO-ALPHA-IONONE, FLAVORING AGENT OR ADJUVANT
 619-01-2, DIHYDROCARVEOL, FLAVORING AGENT OR ADJUVANT
 3792-53-8, CIS-DIHYDROCARVONE, FLAVORING AGENT OR ADJUVANT
 20777-49-5, DIHYDROCARVYL ACETATE, FLAVORING AGENT OR ADJUVANT
 119-84-6, DIHYDROCOUMARIN, FLAVORING AGENT OR ADJUVANT
 38917-63-4," 6,7-DIHYDRO-2,3-DIMETHYL-5H-CYCLOPENTAPYRAZINE", FLAVORING AGENT OR ADJUVANT
 114099-96-6," 4,5-DIHYDRO-2,5-DIMETHYL-4-OXO-3-FURANYL BUTYRATE", FLAVORING AGENT OR ADJUVANT
 51411-24-6, (+/-)-DIHYDROFARNESOL, FLAVORING AGENT OR ADJUVANT
 129319-15-9, DIHYDROGALANGAL ACETATE, FLAVORING AGENT OR ADJUVANT
 3293-47-8, DIHYDRO-BETA-IONOL, FLAVORING AGENT OR ADJUVANT
 17283-81-7, DIHYDRO-BETA-IONONE, FLAVORING AGENT OR ADJUVANT
 1786-08-9," 3,6-DIHYDRO-4-METHYL-2(2-METHYLPROPEN-1-YL)-2H-PYRAN", FLAVORING AGENT OR ADJUVANT
 36267-71-7," 5,7-DIHYDRO-2-METHYLTHIENO(3,4-D)PYRIMIDINE", FLAVORING AGENT OR ADJUVANT
 92015-65-1, (+/-)-DIHYDROMINTLACTONE, FLAVORING AGENT OR ADJUVANT
 20489-53-6, DIHYDRONOOTKATONE, FLAVORING AGENT OR ADJUVANT
 137886-38-5," (+/-)-CIS- AND TRANS-1,2-DIHYDROPERILLALDEHYDE", FLAVORING AGENT OR ADJUVANT
 1003-04-9," 4,5-DIHYDRO-3(2H)THIOPHENONE", FLAVORING AGENT OR ADJUVANT
 86241-90-9," DIHYDRO-2,4,6-TRIMETHYL-4H-1,3,5-DITHIAZINE", FLAVORING AGENT OR ADJUVANT
 74595-94-1," DIHYDRO-2,4,6-TRIS(2-METHYLPROPYL)-4H-1,3,5-DITHIAZINE", FLAVORING AGENT OR ADJUVANT
 62147-49-3, DIHYDROXYACETONE (DIMER), FLAVORING AGENT OR ADJUVANT
 96-26-4, DIHYDROXYACETONE (MONOMER), FLAVORING AGENT OR ADJUVANT
 28631-86-9, DIHYDROXYACETOPHENONE, FLAVORING AGENT OR ADJUVANT
 89-86-1," 2,4-DIHYDROXYBENZOIC ACID", FLAVORING AGENT OR ADJUVANT
 99-50-3," 3,4-DIHYDROXYBENZOIC ACID", FLAVORING AGENT OR ADJUVANT
 40018-26-6," 2,5-DIHYDROXY-1,4-DITHIANE", FLAVORING AGENT OR ADJUVANT
 520-33-2," 5,7-DIHYDROXY-2-(3-HYDROXY-4-METHXY-PHENYL)-CHROMAN-4-ONE", FLAVORING AGENT OR ADJUVANT
 76426-35-2," 3',7-DIHYDROXY-4'-METHOXYFLAVAN", FLAVORING AGENT OR ADJUVANT
 2051-04-9, DIISOAMYL DISULFIDE, FLAVORING AGENT OR ADJUVANT
 955371-64-9, DIISOAMYL TRISULFIDE, FLAVORING AGENT OR ADJUVANT
 141-04-8, DIISOBUTYL ADIPATE, FLAVORING AGENT OR ADJUVANT
 108-83-8, DIISOBUTYL KETONE, FLAVORING AGENT OR ADJUVANT
 68084-03-7, DIISOPENTYL THIOMALATE, FLAVORING AGENT OR ADJUVANT
 6938-94-9, DIISOPROPYL ADIPATE, FLAVORING AGENT OR ADJUVANT
 4253-89-8, DIISOPROPYL DISULFIDE, FLAVORING AGENT OR ADJUVANT
 5943-34-0, DIISOPROPYL TRISULFIDE, FLAVORING AGENT OR ADJUVANT
 977050-60-4, DILL (ANETHUM GRAVEOLENS L.), FLAVORING AGENT OR ADJUVANT
 977082-99-7," DILL SEED, INDIAN (ANETHUM SPP.)", FLAVORING AGENT OR ADJUVANT
 8016-05-5, DILL SEED OIL(ANETHUM SOWA ROXB.), FLAVORING AGENT OR ADJUVANT
 406179-71-3, DIMENTHYL GLUTARATE, FLAVORING AGENT OR ADJUVANT
 6725-64-0, DIMERCAPTOMETHANE, FLAVORING AGENT OR ADJUVANT
 91-16-7," 1,2-DIMETHOXYBENZENE", FLAVORING AGENT OR ADJUVANT
 151-10-0, M-DIMETHOXYBENZENE, FLAVORING AGENT OR ADJUVANT
 150-78-7, P-DIMETHOXYBENZENE, FLAVORING AGENT OR ADJUVANT
 745047-53-4," N1-(2,4-DIMETHOXYBENZYL)-N2-(2-(PYRIDIN-2-YL) ETHYL)OXALAMIDE", FLAVORING AGENT OR ADJUVANT
 534-15-6," 1,1-DIMETHOXYETHANE", FLAVORING AGENT OR ADJUVANT
 18318-83-7," 1,1-DIMETHOXY-TRANS-2-HEXENE", FLAVORING AGENT OR ADJUVANT
 91-10-1," 2,6-DIMETHOXYPHENOL", FLAVORING AGENT OR ADJUVANT
 69444-90-2," N-[2-(3,4-DIMETHOXYPHENYL)ETHYL]-3,4-DIMETHOXYCINNAMIC ACID AMIDE", FLAVORING AGENT OR ADJUVANT
 6380-23-0," 3,4-DIMETHOXY-1-VINYLBENZENE", FLAVORING AGENT OR ADJUVANT
 70786-44-6," 3,6-DIMETHYL-2,3,3A,4,5,7A-HEXAHYDROBENZOFURAN", FLAVORING AGENT OR ADJUVANT
 89-74-7," 2,4-DIMETHYLACETOPHENONE", FLAVORING AGENT OR ADJUVANT
 43219-68-7," 1,4-DIMETHYL-4-ACETYL-1-CYCLOHEXENE", FLAVORING AGENT OR ADJUVANT
 38205-60-6," 2,4-DIMETHYL-5-ACETYLTHIAZOLE", FLAVORING AGENT OR ADJUVANT
 627-93-0, DIMETHYL ADIPATE, FLAVORING AGENT OR ADJUVANT
 124-40-3, DIMETHYLAMINE,
 25988-97-0, DIMETHYLAMINE-EPICHLOROHYDRIN COPOLYMER, PROCESSING AID
 6738-23-4," 2,4-DIMETHYLANISOLE", FLAVORING AGENT OR ADJUVANT
 15764-16-6," 2,4-DIMETHYLBENZALDEHYDE", FLAVORING AGENT OR ADJUVANT
 3782-00-1," 2,3-DIMETHYLBENZOFURAN", FLAVORING AGENT OR ADJUVANT
 536-50-5," P,ALPHA-DIMETHYLBENZYL ALCOHOL", FLAVORING AGENT OR ADJUVANT
 93762-34-6, DIMETHYLBENZYL CARBINYL CROTONATE, FLAVORING AGENT OR ADJUVANT
 891781-90-1, DIMETHYLBENZYL CARBINYL HEXANOATE, FLAVORING AGENT OR ADJUVANT
 7774-60-9," ALPHA,ALPHA-DIMETHYLBENZYL ISOBUTYRATE", FLAVORING AGENT OR ADJUVANT
 13494-06-9," 3,4-DIMETHYL-1,2-CYCLOPENTADIONE", FLAVORING AGENT OR ADJUVANT
 13494-07-0," 3,5-DIMETHYL-1,2-CYCLOPENTADIONE", FLAVORING AGENT OR ADJUVANT
 877-60-1," (+/-)-TRANS- AND CIS-5-(2,2-DIMETHYLCYCLOPROPYL)-3-METHYL-2-PENTENAL", FLAVORING AGENT OR ADJUVANT
 977065-95-4, DIMETHYL DIALKYL AMMONIUM CHLORIDE, FLOUR TREATING AGENT
 4525-33-1, DIMETHYL DICARBONATE, ANTIMICROBIAL AGENT
 34514-55-1," 2(3),5-DIMETHYL-6,7-DIHYDRO-5H-CYCLOPENTAPYRAZINE", FLAVORING AGENT OR ADJUVANT
 55704-78-4," 2,5-DIMETHYL-2,5-DIHYDROXY-1,4-DITHIANE", FLAVORING AGENT OR ADJUVANT
 3390-12-3," 2,4-DIMETHYL-1,3-DIOXOLANE", FLAVORING AGENT OR ADJUVANT
 108-01-0, DIMETHYLETHANOLAMINE,
 65330-49-6," 2,5-DIMETHYL-4-ETHOXY-3(2H)-FURANONE", FLAVORING AGENT OR ADJUVANT
 30408-61-8," 2,5-DIMETHYL-4-ETHYLOXAZOLE", FLAVORING AGENT OR ADJUVANT
 98-54-4," 4-(1,1-DIMETHYLETHYL)PHENOL", FLAVORING AGENT OR ADJUVANT
 76788-46-0," 4,5-DIMETHYL-2-ETHYL-3-THIAZOLINE"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 625-86-5," 2,5-DIMETHYLFURAN", FLAVORING AGENT OR ADJUVANT
 14400-67-0," 2,5-DIMETHYL-3(2H)-FURANONE", FLAVORING AGENT OR ADJUVANT
 55764-23-3," 2,5-DIMETHYL-3-FURANTHIOL", FLAVORING AGENT OR ADJUVANT
 55764-22-2," 2,5-DIMETHYL-3-FURANTHIOL ACETATE", FLAVORING AGENT OR ADJUVANT
 108-82-7," 2,6-DIMETHYL-4-HEPTANOL", FLAVORING AGENT OR ADJUVANT
 61295-51-0," 2,6-DIMETHYL-3-((2-METHYL-3-FURYL)THIO)-4-HEPTANONE", FLAVORING AGENT OR ADJUVANT
 106-72-9," 2,6-DIMETHYL-5-HEPTENAL", FLAVORING AGENT OR ADJUVANT
 74094-63-6," 2,6-DIMETHYL-5-HEPTENAL PROPYLENEGLYCOL ACETAL", FLAVORING AGENT OR ADJUVANT
 40326-01-0," 2,6-DIMETHYL-6-HEPTEN-1-OL", FLAVORING AGENT OR ADJUVANT
 28664-35-9," 4,5-DIMETHYL-3-HYDROXY-2,5-DIHYDROFURAN-2-ONE", FLAVORING AGENT OR ADJUVANT
 70303-42-3," 3,5-DIMETHYL-2-ISOBUTYLPYRAZINE", FLAVORING AGENT OR ADJUVANT
 32736-94-0," 3,6-DIMETHYL-2-ISOBUTYLPYRAZINE", FLAVORING AGENT OR ADJUVANT
 53498-32-1," 4,5-DIMETHYL-2-ISOBUTYLTHIAZOLE", FLAVORING AGENT OR ADJUVANT
 65894-83-9," 4,5-DIMETHYL-2-ISOBUTYL-3-THIAZOLINE", FLAVORING AGENT OR ADJUVANT
 1217341-48-4," 3-(1-((3,5-DIMETHYLISOXAZOL-4-YL)METHYL)-1H-PYRAZOL-4-YL)-1-(3- HYDROXYBENZYL)-5,5-DIMETHYLIMIDAZOLIDINE-2,4-DIONE", FLAVORING AGENT OR ADJUVANT
 1119831-25-2," 3-(1-((3,5-DIMETHYLISOXAZOL-4-YL)METHYL)-1H-PYRAZOL-4-YL)-1-(3- HYDROXYBENZYL)IMIDAZOLIDINE-2,4-DIONE", FLAVORING AGENT OR ADJUVANT
 544714-08-1," (+/-)-N,N-DIMETHYL MENTHYL SUCCINAMIDE", FLAVOR ENHANCER
 26486-21-5," 2,5-DIMETHYL-3-MERCAPTOTETRAHYDROFURAN", FLAVORING AGENT OR ADJUVANT
 4077-47-8," 2,5-DIMETHYL-4-METHOXY-3(2H)-FURANONE", FLAVORING AGENT OR ADJUVANT
 60066-88-8," 2,6-DIMETHYL-10-METHYLENE-2,6,11-DODECATRIENAL", FLAVORING AGENT OR ADJUVANT
 831213-72-0," 3,9-DIMETHYL-6-(1-METHYLETHYL)-1,4-DIOXASPIRO[4.5]_x005FDECAN-2-ONE", FLAVORING AGENT OR ADJUVANT
 7416-35-5," 2,2-DIMETHYL-5-(1-METHYLPROPEN-1-YL) TETRAHYDROFURAN", FLAVORING AGENT OR ADJUVANT
 67845-50-5," (+/-)-TRANS- AND CIS-4,8-DIMETHYL-3,7-NONADIEN-2-OL", FLAVORING AGENT OR ADJUVANT
 817-88-9," 4,8-DIMETHYL-3,7-NONADIEN-2-ONE", FLAVORING AGENT OR ADJUVANT
 27575-61-7," 4,8-DIMETHYL-3,7-NONADIEN-2-ONE, CIS-", FLAVORING AGENT OR ADJUVANT
 27539-94-2," 4,8-DIMETHYL-3,7-NONADIEN-2-ONE, TRANS-", FLAVORING AGENT OR ADJUVANT
 91418-25-6," (+/-)-TRANS- AND CIS-4,8-DIMETHYL-3,7-NONADIEN-2-YL ACETATE", FLAVORING AGENT OR ADJUVANT
 74356-31-3," 2,4-DIMETHYL-4-NONANOL", FLAVORING AGENT OR ADJUVANT
 74016-19-6," (E)-2-(3,7-DIMETHYL-2,6-OCTADIENYL)CYCLOPENTANONE", FLAVORING AGENT OR ADJUVANT
 744251-93-2," N-3,7-DIMETHYL-2,6-OCTADIENYLCYCLOPROPYLCARBOXAMIDE", FLAVORING AGENT OR ADJUVANT
 73019-14-4," 2-TRANS-3,7-DIMETHYLOCTA-2,6-DIENYL 2-ETHYLBUTANOATE", FLAVORING AGENT OR ADJUVANT
 7779-07-9," 2,6-DIMETHYLOCTANAL", FLAVORING AGENT OR ADJUVANT
 5988-91-0," 3,7-DIMETHYLOCTANAL", FLAVORING AGENT OR ADJUVANT
 106-21-8," 3,7-DIMETHYL-1-OCTANOL", FLAVORING AGENT OR ADJUVANT
 29171-20-8," (E)-3,7-DIMETHYL-1,5,7-OCTATRIEN-3-OL", FLAVORING AGENT OR ADJUVANT
 502-47-6," 3,7-DIMETHYL-6-OCTENOIC ACID", FLAVORING AGENT OR ADJUVANT
 77311-02-5," 2,4-DIMETHYL-3-OXAZOLINE", FLAVORING AGENT OR ADJUVANT
 66634-97-7," 2,4-DIMETHYL-2-PENTENOIC ACID", FLAVORING AGENT OR ADJUVANT
 151-05-3," ALPHA,ALPHA-DIMETHYLPHENETHYL ACETATE", FLAVORING AGENT OR ADJUVANT
 100-86-7," ALPHA,ALPHA-DIMETHYLPHENETHYL ALCOHOL", FLAVORING AGENT OR ADJUVANT
 2449-49-2," N,N-DIMETHYLPHENETHYLAMINE", FLAVORING AGENT OR ADJUVANT
 10094-34-5," ALPHA,ALPHA-DIMETHYLPHENETHYL BUTYRATE", FLAVORING AGENT OR ADJUVANT
 10058-43-2," ALPHA,ALPHA-DIMETHYLPHENETHYL FORMATE", FLAVORING AGENT OR ADJUVANT
 9016-00-6, DIMETHYLPOLYSILOXANE," LUBRICANT OR RELEASE AGENT,<br /> SURFACE-ACTIVE AGENT"
 5910-89-4," 2,3-DIMETHYLPYRAZINE", FLAVORING AGENT OR ADJUVANT
 123-32-0," 2,5-DIMETHYLPYRAZINE", FLAVORING AGENT OR ADJUVANT
 108-50-9," 2,6-DIMETHYLPYRAZINE", FLAVORING AGENT OR ADJUVANT
 108-47-4," 2,4-DIMETHYLPYRIDINE", FLAVORING AGENT OR ADJUVANT
 108-48-5," 2,6-DIMETHYLPYRIDINE", FLAVORING AGENT OR ADJUVANT
 625-84-3," 2,5-DIMETHYLPYRROLE", FLAVORING AGENT OR ADJUVANT
 1195-32-0," P,ALPHA-DIMETHYLSTYRENE", FLAVORING AGENT OR ADJUVANT
 106-65-0, DIMETHYL SUCCINATE, FLAVORING AGENT OR ADJUVANT
 67-68-5, DIMETHYL SULFOXIDE, FLAVORING AGENT OR ADJUVANT
 4175-66-0," 2,5-DIMETHYLTHIAZOLE", FLAVORING AGENT OR ADJUVANT
 3581-91-7," 4,5-DIMETHYLTHIAZOLE", FLAVORING AGENT OR ADJUVANT
 65894-82-8," 2-(2-BUTYL)-4,5-DIMETHYL-3-THIAZOLINE"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 55764-28-8," 2,5-DIMETHYL-3-THIOISOVALERYLFURAN", FLAVORING AGENT OR ADJUVANT
 632-15-5," 3,4-DIMETHYLTHIOPHENE", FLAVORING AGENT OR ADJUVANT
 118-72-9," 2,6-DIMETHYLTHIOPHENOL", FLAVORING AGENT OR ADJUVANT
 3658-80-8, DIMETHYL TRISULFIDE, FLAVORING AGENT OR ADJUVANT
 23654-92-4," 3,5-DIMETHYL-1,2,4-TRITHIOLANE"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 65505-18-2," 2,4-DIMETHYL-5-VINYLTHIAZOLE", FLAVORING AGENT OR ADJUVANT
 123-79-5, DIOCTYL ADIPATE, FLAVORING AGENT OR ADJUVANT
 101-84-8, DIPHENYL ETHER," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 102-04-5," 1,3-DIPHENYL-2-PROPANONE", FLAVORING AGENT OR ADJUVANT
 105-82-8," 1,1-DIPROPOXYETHANE", FLAVORING AGENT OR ADJUVANT
 106-19-4, DIPROPYL ADIPATE, FLAVORING AGENT OR ADJUVANT
 6028-61-1, DIPROPYL TRISULFIDE, FLAVORING AGENT OR ADJUVANT
 5943-30-6, DI-SEC-BUTYL DISULFIDE, FLAVORING AGENT OR ADJUVANT
 144-33-2, DISODIUM CITRATE, STABILIZER OR THICKENER
 138-93-2, DISODIUM CYANODITHIOIMIDOCARBONATE," ANTIMICROBIAL AGENT,<br /> FLAVORING AGENT OR ADJUVANT"
 142-59-6, DISODIUM ETHYLENEBISDITHIOCARBAMATE, ANTIMICROBIAL AGENT
 5550-12-9, DISODIUM GUANYLATE, FLAVORING AGENT OR ADJUVANT
 4691-65-0, DISODIUM INOSINATE," FLAVOR ENHANCER,<br /> STABILIZER OR THICKENER"
 150-90-3, DISODIUM SUCCINATE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 40790-04-3, DI-(BUTAN-3-ONE-1-YL) SULFIDE, FLAVORING AGENT OR ADJUVANT
 6628-18-8," 2,5-DITHIAHEXANE", FLAVORING AGENT OR ADJUVANT
 505-29-3," 1,4-DITHIANE", FLAVORING AGENT OR ADJUVANT
 59902-01-1," 2,8-DITHIANON-4-EN-4-CARBOXALDEHYDE"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 4437-20-1," 2,2'-(DITHIODIMETHYLENE) DIFURAN"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 977017-92-7, DITTANY OF CRETE (ORIGANUM DICTAMNUS L.), FLAVORING AGENT OR ADJUVANT
 977047-65-6, DITTANY (FRAXINELLA) ROOTS (DICTAMNUS ALBUS L.), FLAVORING AGENT OR ADJUVANT
 2092-49-1, DIVANILLIN, FLAVORING AGENT OR ADJUVANT
 21368-68-3, DL-CAMPHOR, FLAVORING AGENT OR ADJUVANT
 38142-45-9, D-LIMONEN-10-OL, FLAVORING AGENT OR ADJUVANT
 443-79-8, DL-ISOLEUCINE, FLAVORING AGENT OR ADJUVANT
 491-07-6, DL-ISOMENTHONE, FLAVORING AGENT OR ADJUVANT
 516-06-3, DL-VALINE," FLAVORING AGENT OR ADJUVANT,<br /> NUTRIENT SUPPLEMENT"
 713-95-1, DELTA-DODECALACTONE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 16429-21-3, EPSILON-DODECALACTONE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 2305-05-7, GAMMA-DODECALACTONE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 14620-52-1, DODECANAL DIMETHYL ACETAL, FLAVORING AGENT OR ADJUVANT
 4826-62-4, 2-DODECENAL, FLAVORING AGENT OR ADJUVANT
 21944-98-9, (Z)-4-DODECENAL, FLAVORING AGENT OR ADJUVANT
 65423-25-8, 11-DODECENOIC ACID, FLAVORING AGENT OR ADJUVANT
 15456-68-5, 9-DODECEN-5-OLIDE, FLAVORING AGENT OR ADJUVANT
 3724-61-6, DODECYL BUTYRATE, FLAVORING AGENT OR ADJUVANT
 1166-52-5, DODECYL GALLATE, ANTIOXIDANT
 6624-71-1, DODECYL ISOBUTYRATE, FLAVORING AGENT OR ADJUVANT
 6283-92-7, DODECYL LACTATE, FLAVORING AGENT OR ADJUVANT
 112-55-0, N-DODECYLMERCAPTAN, FLAVORING AGENT OR ADJUVANT
 26401-47-8, ALPHA-(P-DODECYLPHENYL)-OMEGA-HYDROXYPOLY(OXYETHYLENE),
 6221-93-8, DODECYL PROPIONATE, FLAVORING AGENT OR ADJUVANT
 977038-73-5," DOG GRASS, EXTRACT (AGROPYRON REPENS (L.) BEAUV.)"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 203719-54-4," D-8-P-MENTHENE-1,2-EPOXIDE", FLAVORING AGENT OR ADJUVANT
 9000-19-5," DRAGON'S BLOOD, EXTRACT (DAEMONOROPS SPP. OR OTHER BOTANICAL SOURCES)", FLAVORING AGENT OR ADJUVANT
 977010-47-1, DRIED ALGAE MEAL," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 150-69-6, DULCIN--PROHIBITED, NON-NUTRITIVE SWEETENER
 14729-89-6," EDTA, DISODIUM IRON"," SEQUESTRANT,<br /> STABILIZER OR THICKENER"
 64-02-8," EDTA, TETRASODIUM"," BOILER WATER ADDITIVE,<br /> WASHING OR SURFACE REMOVAL AGENT"
 76361-77-8," (2E,6E,8E)-N-(2-METHYLPROPYL)-2,6,8-DECATRIENAMIDE", FLAVORING AGENT OR ADJUVANT
 12650-88-3, EGG WHITE LYSOZYME," ANTIMICROBIAL AGENT,<br /> ENZYME"
 977002-47-3, ELDER FLOWERS (SAMBUCUS CANADENSIS L. OR SAMBUCUS NIGRA L.)," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 977010-39-1," ELDER FLOWERS, EXTRACT (SAMBUCUS CANADENSIS L. OR SAMBUCUS NIGRA L.)"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 977038-74-6, ELDER TREE LEAVES (SAMBUCUS NIGRA L.), FLAVORING AGENT OR ADJUVANT
 84012-20-4," ELECAMPANE ROOT, EXTRACT (INULA HELENIUM L.)",
 1397-83-7," ELECAMPANE ROOT, OIL (INULA HELENIUM L.)", FLAVORING AGENT OR ADJUVANT
 9000-75-3," ELEMI, GUM"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 8023-89-0," ELEMI, OIL (CANARIUM SPP.)"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 977127-78-8, ENZYME-MODIFIED FATS,
 977143-80-8," ENZYMES, BACTERIAL"," ENZYME,<br /> PROCESSING AID"
